side,price,qty
bid,63572.0,0.00017
bid,63571.42,0.00125
bid,63570.73,0.00009
bid,63570.59,0.00013
bid,63569.72,0.07397
bid,63569.08,0.00013
bid,63568.5,0.00008
bid,63568.16,0.00037
bid,63567.88,0.3037
bid,63567.6,0.00061
bid,63567.31,0.00039
bid,63566.66,0.0002
bid,63566.01,0.00868
bid,63566.0,0.01574
bid,63565.73,0.11596
bid,63563.89,0.00065
bid,63563.63,0.00018
bid,63563.36,0.00008
bid,63563.15,0.00046
bid,63562.92,0.00168
bid,63562.5,0.00011
bid,63561.76,0.00403
bid,63561.67,0.001
bid,63561.51,0.0004
bid,63561.49,0.3037
bid,63560.87,0.00011
bid,63560.86,0.03032
bid,63560.44,0.00053
bid,63559.68,0.00027
bid,63559.37,0.00009
bid,63558.21,0.00008
bid,63557.83,0.11416
bid,63557.77,0.00009
bid,63557.2,0.00011
bid,63556.96,0.00012
bid,63556.72,0.00011
bid,63555.48,0.00009
bid,63555.15,0.01799
bid,63555.1,0.3037
bid,63555.0,0.00015
bid,63554.85,0.00022
bid,63554.75,0.00009
bid,63553.76,0.00009
bid,63553.63,0.0004
bid,63553.62,0.00016
bid,63553.44,0.00009
bid,63553.43,0.00009
bid,63553.29,0.00013
bid,63553.27,0.00085
bid,63553.06,0.00008
bid,63552.0,0.00033
bid,63551.23,0.00042
bid,63550.86,0.00009
bid,63550.6,0.00032
bid,63550.18,0.00014
bid,63550.0,0.05171
bid,63548.95,0.00046
bid,63548.38,0.00125
bid,63547.98,0.00033
bid,63547.1,0.00043
bid,63545.82,0.00009
bid,63544.28,0.00088
bid,63543.86,0.00089
bid,63543.84,0.00009
bid,63542.85,0.00028
bid,63542.19,0.00206
bid,63541.77,0.00032
bid,63541.28,0.0001
bid,63541.16,0.00012
bid,63540.43,0.00234
bid,63540.39,0.00047
bid,63540.0,0.04999
bid,63539.48,0.00026
bid,63539.23,0.00019
bid,63538.53,0.0001
bid,63538.0,0.00799
bid,63537.69,0.00046
bid,63536.84,0.00015
bid,63536.73,0.00634
bid,63536.4,0.00009
bid,63535.61,0.00045
bid,63535.47,0.00581
bid,63535.15,0.00032
bid,63534.73,0.00009
bid,63533.98,0.00015
bid,63533.62,0.06268
bid,63532.95,0.00015
bid,63532.72,0.00134
bid,63531.25,0.00008
bid,63531.01,0.00026
bid,63529.41,0.01226
bid,63528.41,0.00009
bid,63528.17,0.01
bid,63527.58,1.9
bid,63526.8,0.00009
bid,63526.74,0.00045
